,timestamp_iso_x,opc_pm25_x,pm25_env_x,opc_pm10_x,pm10_env_x,id,timestamp_iso_y,opc_pm25_y,pm25_env_y,opc_pm10_y,pm10_env_y
132,2025-10-07 17:33:25+00:00,3.535,4.0,4.88,4.0,133,2025-10-07 17:33:29+00:00,1.752,10.0,1.858,10.0
133,2025-10-07 17:33:30+00:00,2.589,4.0,3.902,4.0,134,2025-10-07 17:33:34+00:00,3.262,9.0,36.739,10.0
134,2025-10-07 17:33:35+00:00,4.66,5.0,7.335,5.0,135,2025-10-07 17:33:39+00:00,1.796,10.0,2.021,11.0
135,2025-10-07 17:33:40+00:00,1.116,5.0,1.151,5.0,136,2025-10-07 17:33:44+00:00,4.326,10.0,8.692,10.0
136,2025-10-07 17:33:45+00:00,1.374,5.0,1.417,5.0,137,2025-10-07 17:33:49+00:00,3.233,10.0,5.157,10.0
137,2025-10-07 17:33:50+00:00,0.468,4.0,0.468,4.0,138,2025-10-07 17:33:54+00:00,4.575,8.0,35.665,9.0
138,2025-10-07 17:33:55+00:00,3.437,4.0,4.18,4.0,139,2025-10-07 17:33:59+00:00,4.944,6.0,15.64,6.0
139,2025-10-07 17:34:00+00:00,3.691,4.0,8.431,4.0,140,2025-10-07 17:34:04+00:00,3.131,5.0,4.416,5.0
140,2025-10-07 17:34:05+00:00,1.717,3.0,2.708,4.0,141,2025-10-07 17:34:09+00:00,4.218,7.0,25.496,7.0
141,2025-10-07 17:34:10+00:00,5.981,3.0,11.039,4.0,142,2025-10-07 17:34:14+00:00,4.67,7.0,8.855,7.0
142,2025-10-07 17:34:15+00:00,2.313,4.0,10.268,4.0,143,2025-10-07 17:34:19+00:00,2.925,8.0,3.549,8.0
143,2025-10-07 17:34:20+00:00,3.194,5.0,6.639,5.0,144,2025-10-07 17:34:24+00:00,3.641,8.0,6.887,8.0
144,2025-10-07 17:34:25+00:00,1.655,5.0,1.915,5.0,145,2025-10-07 17:34:29+00:00,3.328,9.0,7.137,9.0
145,2025-10-07 17:34:30+00:00,1.906,4.0,2.934,5.0,146,2025-10-07 17:34:34+00:00,3.73,8.0,26.272,8.0
146,2025-10-07 17:34:35+00:00,4.183,4.0,6.839,5.0,147,2025-10-07 17:34:39+00:00,2.395,8.0,2.962,8.0
147,2025-10-07 17:34:40+00:00,5.008,4.0,27.447,5.0,148,2025-10-07 17:34:44+00:00,3.165,6.0,10.835,6.0
148,2025-10-07 17:34:45+00:00,2.181,4.0,18.257,5.0,149,2025-10-07 17:34:49+00:00,2.669,7.0,3.714,7.0
149,2025-10-07 17:34:50+00:00,2.68,5.0,4.006,6.0,150,2025-10-07 17:34:54+00:00,3.452,7.0,6.926,7.0
150,2025-10-07 17:34:55+00:00,2.056,5.0,2.527,6.0,151,2025-10-07 17:34:59+00:00,2.775,9.0,5.628,9.0
151,2025-10-07 17:35:00+00:00,4.277,5.0,9.01,5.0,152,2025-10-07 17:35:04+00:00,3.738,9.0,11.331,9.0
152,2025-10-07 17:35:05+00:00,4.339,4.0,23.689,4.0,153,2025-10-07 17:35:09+00:00,2.198,10.0,2.599,10.0
153,2025-10-07 17:35:10+00:00,1.692,4.0,1.969,4.0,154,2025-10-07 17:35:14+00:00,2.395,9.0,9.787,9.0
154,2025-10-07 17:35:15+00:00,3.291,3.0,12.265,3.0,155,2025-10-07 17:35:19+00:00,2.298,9.0,11.252,9.0
155,2025-10-07 17:35:20+00:00,1.369,3.0,1.645,3.0,156,2025-10-07 17:35:24+00:00,2.288,9.0,2.867,9.0
156,2025-10-07 17:35:25+00:00,1.258,4.0,1.299,4.0,157,2025-10-07 17:35:29+00:00,1.496,9.0,1.704,9.0
157,2025-10-07 17:35:30+00:00,2.092,4.0,3.148,4.0,158,2025-10-07 17:35:34+00:00,2.721,9.0,5.575,9.0
158,2025-10-07 17:35:35+00:00,3.556,4.0,5.871,4.0,159,2025-10-07 17:35:39+00:00,3.64,9.0,4.902,11.0
159,2025-10-07 17:35:40+00:00,3.654,3.0,18.979,3.0,160,2025-10-07 17:35:44+00:00,3.583,10.0,10.616,12.0
160,2025-10-07 17:35:45+00:00,3.535,2.0,5.295,2.0,161,2025-10-07 17:35:49+00:00,1.669,9.0,8.452,10.0
161,2025-10-07 17:35:50+00:00,0.926,2.0,0.927,2.0,162,2025-10-07 17:35:54+00:00,1.884,10.0,22.803,11.0
162,2025-10-07 17:35:55+00:00,3.27,3.0,4.785,3.0,163,2025-10-07 17:35:59+00:00,3.687,9.0,17.332,10.0
163,2025-10-07 17:36:00+00:00,2.416,4.0,19.017,5.0,164,2025-10-07 17:36:04+00:00,2.034,8.0,2.156,8.0
164,2025-10-07 17:36:05+00:00,3.633,4.0,41.335,6.0,165,2025-10-07 17:36:09+00:00,2.614,8.0,3.189,8.0
165,2025-10-07 17:36:10+00:00,3.793,4.0,5.36,5.0,166,2025-10-07 17:36:14+00:00,2.76,9.0,10.07,9.0
